a_AssetID,Phase,i_Identifier,a_Title_Series,a_Title_Episode,a_Date,a_DateType,a_Description,i_Transfer Date,Transfer_Deck,i_TransferNotes,i_FormatPhysical,i_FormatMediaType,i_FormatGeneration,i_ChannelConfiguation,i_Speed,i_Duration,i_Location,i_Box,a_DigitalStorageLocation,a_DigitalStorageLocation copy,Size of AIP (in gb),QC & Caption Notes,a_Description_Type,QC Pass Date,i_Stock,i_Brand,i_CreatorID,i_Date,i_DateType,a_AssetType,i_ConditionNotes,a_Contributers,ia upload,youtube,not in filemaker,cannot be digitized,Rights,CaptionFile,Base,Institution,Collections,Collections 2,formula,Digitized,PsC - Original Tape ID,PsC - Original Label (if different),PsC - Original Date,PsC - Additional Notes on Metadata,On Hold Notes,Transfer Technician,a_Title_Spanish,a_Episode_Number,PcS - CUNY-TV Asset ID on Cassette,Extent
CLIR0307,Completed for Project,UMA02850,City Club of New York Friday Forum,Philadelphia Mayor Ed Rendell,1994-10-07,created,"On this episode of the City Club of New York's Friday Forum, Philadelphia's mayor Ed Rendell speaks on the policy issues of the city,  comparing and contrasting them with those in New York City (where he is from). Moderated by Ed Tristam (President, City Club). Recorded on October 7th, 1994.  

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-25,U-Matic VTRA0003 (TBC 1),"Stereo. Adjusted audio phase/levels to tone. Adjusted levels to program, including hue a touch. ",3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,57:34,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-10-06,created,Episode,,,checked,,,,,,,City Club,,,recJg4pxGOXsXzOAb,1,,,,,,Kelly Haydon,,,,1
CLIR0307,Completed for Project,UMA02860,City Club of New York Friday Forum,Ed Rendell,1994-10-11,created,,,,duplicate of UMA02850,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000001,,1,,,,,KSP-60,Sony,,1994-10-10,created,Episode,,,,,,,,,,City Club,,,recBM9rQEDXOdWhjq,,,,,,,,,,,1
CLIR0308,Completed for Project,UMA02973,City Club of New York Friday Forum,"NYC's Drinking Water Crisis, Part I",1994-10-24,created,,,,duplicate of UMA02853,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000008,,1,,,,,KSP-60,Sony,,1994-10-23,created,Episode,,,,,,,,,,City Club,,,recO56cr39XFjmRnU,,,,,,,,,,,1
CLIR0308,Completed for Project,UMA02853,City Club of New York Friday Forum,"NYC's Drinking Water Crisis, Part I",1994-10-28,created,"On this episode of the City Club of New York's Friday Forum, panelists discuss urgent issues regarding the quality of New York's drinking water. Richard Caspe (Director, Water Management, US EPA) reviews recent, legislative history regarding the protection of the watershed. Langdon Marsh follows up with key points on the future of water quality across the Catskill/Delaware region. Dr. William Stasiuk (Director, Center for Environmental Health-NYS DOH) argues that New York City drinking water is safe. 

The panel is introduced and moderated by Sydney Horenstein (American Museum of Natural History). Recorded on October 28th, 1994 at CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-25,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted audio levels to tone and video levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,57:07,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-10-27,created,Episode,,,checked,,,,,,,City Club,,,recPgtDJZpMkHTIRT,1,,,,,,Kelly Haydon,,,,1
CLIR0308,Completed for Project,UMA02974,City Club of New York Friday Forum,"NYC's Drinking Water Crisis, Part I",1994-11-02,created,,,,duplicate of UMA02853,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000008,,1,,,,,KSP-60,Sony,,1994-11-01,created,Episode,,,,,,,,,,City Club,,,rec7QndWRw5a9OAp2,,,,,,,,,,,1
CLIR0309,Completed for Project,UMA02854,City Club of New York Friday Forum,Commissioner Theodore Roosevelt,1994-11-11,created,"This episode of the City Club of New York's Friday Forum invites author Paul Jeffers to talk about his research into the years that Teddy Roosevelt served as New York City's police commissioner. Hosted by Sally Goodgold (Chair, Board of Trustees, City Club) and recorded on November 11th, 1994 at the Roosevelt House in New York City. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-25,U-Matic VTRA0003 (TBC 1),"Stereo. Tried to set audio levels to the program, but in the beginning, it is dual mono and then later it is in stereo. Adjusted video levels to program. 
",3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,56:45,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-11-10,created,Episode,,,checked,,,,,,,City Club,,,recbqhdiiUA4ELUun,1,,,,,,Kelly Haydon,,,,1
CLIR0309,Completed for Project,UMA02852,City Club of New York Friday Forum,At Theodore Roosevelt's Birthplace with Paul Jeffers,1994-11-15,created,,,,duplicate of UMA02854,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000001,,1,,,,,KSP-60,Sony,,1994-11-14,created,Episode,,,,,,,,,,City Club,,,rec2ebDtwVQdwpJF5,,,,,,,,,,,1
CLIR0310,Completed for Project,UMA02975,City Club of New York Friday Forum,NYC's Drinking Water Crisis Part 2,1994-11-01,created,,,,duplicate,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000008,,1,,,,,KSP-60,Sony,,1994-10-31,created,Episode,,,,,,,,,,City Club,,,recpj77wIoyVJCPIv,,,,,,,,,,,1
CLIR0310,Completed for Project,UMA02976,City Club of New York Friday Forum,NYC's Drinking Water Crisis Part 2,1994-11-01,created,,,,"duplicate
",3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000008,,1,,,,,KSP-60,Sony,,1994-10-31,created,Episode,,,,,,,,,,City Club,,,rec6iyNCpQ0N9aelL,,,,,,,,,,,1
CLIR0310,Completed for Project,UMA02856,City Club of New York Friday Forum,"NYC's Drinking Water Crisis, Part II",1994-11-04,created,"In the second installment of a series on the Drinking Water Crisis, the City Club of New York invites several speakers to discuss conflicts between New York City and its neighboring communities over the watershed. Attorney Daniel Ruzow shares the views of the Coalition of Watershed Towns. George Rodenhausen provides an overview of the perspective of the Putnam County Legislature. Robert F. Kennedy Jr. (Pace Environmental Law) defends New York City as a major investor in the development of watershed communities. 

Introduced and moderated by Eric Goldstein (Natural Resources Defense Council); Sally Goodgold (Chair, City Club Board of Trustees) gives welcoming remarks. Taped at CUNY Graduate Center on November 11th, 2004. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-26,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted audio phase/levels to tone. Adjusted video levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,56:45,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-11-03,created,Episode,,,checked,,,,,,,City Club,,,recBP0UuzPsgypxJX,1,,,,,,Kelly Haydon,,,,1
CLIR0310,Completed for Project,UMA02855,City Club of New York Friday Forum,NYC's Drinking Water Crisis Part 2,1994-11-09,created,,,,duplicate,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000001,,1,,,,,KSP-60,Sony,,1994-11-08,created,Episode,,,,,,,,,,City Club,,,recS14plI5wHf1rdI,,,,,,,,,,,1
CLIR0311,Completed for Project,UMA02905,City Club of New York Friday Forum,42nd St. Trolley,1994-02-25,created,"This episode of the City Club of New York's Friday Forum invites panelists to speak on a proposed crosstown light rail in Manhattan. The rail is informally known as the ""42nd Street Trolley."" Panelists include Fred Papert (President, 42nd Street Development Corp.), and Steve Wilder (Member, Transportation Committee, City Club). Former Commissioner of the NYC Department of Transportation, Ross Sandler, moderates the discussion. Recorded on March 25th, 1994 at the CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-12,U-Matic VTRA0003 (TBC 1),"Baked 24 hours on August 11th, 2021. Set video and audio levels to program. ",3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,1:00:41,,CCLB000004,E/F00156,0,55.0,,,9/2/2021,197,AMPEX,,1994-02-24,created,Episode,,,checked,,,,,,,City Club,,,recZJ9sOJeJajE8PK,1,,,,,,,,,,1
CLIR0311,Completed for Project,UMA02903,City Club of New York Friday Forum,42nd St. Trolley,1994-02-25,created,,,,duplicate,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000004,,1,,,,,KSP-60,Sony,,1994-02-24,created,Episode,,,,,,,,,,City Club,,,recGPZXVcLBytPEbG,,,,,,,,,,,1
CLIR0312,Completed for Project,UMA02915,City Club of New York Friday Forum,Rudy Giuliani,1994-03-18,created,,,,,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000005,,1,,,,,KCA-60XBR,Sony,,1994-03-17,created,Episode,,,,,,,,,,City Club,,,recxN01fnYTgxkSKx,,,,,,,,,,,1
CLIR0312,Completed for Project,UMA02917,City Club of New York Friday Forum,Mayor Rudy Giuliani,1994-03-18,created,"This episode of the City Club of New York's Friday Forum invites Mayor Rudolph Giuliani to discuss the priorities of his administration. Topics include public safety and the private sector economy. The discussion is followed by a Q&A with the audience. Moderated by Sally Goodgold (Chair, Board of Trustees) and recorded on March 18th, 1994 at the CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).

",2021-08-10,U-Matic VTRA0003 (TBC 1),Stereo. Adjust luma and audio phase/levels to program. Hue was very off and also adjusted to i-line. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,1:04:53,,CCLB000005,E/F00156,0,56.0,,,9/2/2021,KSP-60,Sony,,1994-03-17,created,Episode,,,checked,,,,,,,City Club,,,recGS1oro6rmAPrmI,1,,,,,,,,,,1
CLIR0313,Completed for Project,UMA02871,City Club of New York Friday Forum,"Lucius Riccio, Transportation Commissioner",1993-06-11,created,"On this episode of the City Club of New York's Friday Forum, NYC Transportation Commissioner Lucius Riccio discusses the topic of ""traffic calming."" The discussion is followed by a Q&A with the audience. Moderated by Audrey Isaacs (President, City Club) and recorded on June 11th, 1993 at the CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-17,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,1:05:00,,CCLB000002,E/F00156,0,52.0,,,9/2/2021,187,AMPEX,,1993-06-10,created,Episode,,,checked,,,,,,,City Club,,,recDm1vhDUeMN8kLB,1,,,,,,,,,,1
CLIR0314,Completed for Project,UMA02863,City Club of New York Friday Forum,Noreen Connell/Ed Costikyan,1994-10-14,created,,,,,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000001,,1,,,,,KSP-60,Sony,,1994-10-13,created,Episode,,,,,,,,,,City Club,,,rece7kUp8X6QIVWhW,,,,,,,,,,,1
CLIR0314,Completed for Project,UMA02861,City Club of New York Friday Forum,Noreen Connell and Ed Costikyan,1994-10-18,created,"On this episode of the City Club of New York's Friday Forum, political advisor Ed Costikyan reports on his analysis of the New York City school system for the Giuliani administration. Co-sponsored by the Education Priorities Panel; moderated by Noreen Connell. The City Club of New York president, Ed Tristram, gives welcoming remarks. Taped at the CUNY Graduate Center on October 14th, 1994. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-26,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted levels to program. No bars/tone. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,0:57,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-10-17,created,Episode,,,checked,,,,,,,City Club,,,recuGHDMfkj9I3k2C,1,,,,,,Kelly Haydon,,,,1
CLIR0315,Completed for Project,UMA02862,City Club of New York Friday Forum,Public School Education in New York City ,1994-10-21,created,"The City Club of New York's Education Committee hosts a panel discussion on the state of public education in New York City. Moderated by Haskell Lazere (Chair, Education Committee); welcoming remarks are made by Sally Goodgold (Chair, Board of Trustees, City Club). Taped on October 21st, 1994 at the CUNY Graduate Center in New York. 

Panelists include: 

- Roscoe Brown (Director, CUNY Center for Urban Education Policy)
- Norman Fruchter (Director, Aaron Diamond Foundation)
- Noreen Connell (Head, Education Priorities Panel). 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).

",2021-08-26,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted levels to program. No bars/tone. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,56:57,,CCLB000001,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-10-20,created,Episode,,,checked,,,,,,,City Club,,,recW0AM8UN2z0ySdP,1,,,,,,Kelly Haydon,,,,1
CLIR0315,Completed for Project,UMA02864,City Club of New York Friday Forum,"Haskell Lazere, Roscoe Brown, Norman Fruchter, Noreen Connell",1994-10-21,created,,,,Duplicate of UMA02862,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000001,,1,,,,,KSP-60,Sony,,1994-10-20,created,Episode,,,,,,,,,,City Club,,,receAxqKObwcsstHW,,,,,,,,,,,1
CLIR0316,Completed for Project,UMA02867,City Club of New York Friday Forum,Ruth Messinger,1993-12-10,created,"This episode of the City Club of New York's Friday Forum invites Ruth Messinger (Manhattan Borough President) to discuss policy issues facing the recently elected mayor, Rudy Giuliani. These issues include: crime in the police department, reforming the public school system, homelessness, and the streamlining of city government. The discussion is followed by a Q&A with the audience. Moderated by Ed Tristram and recorded on December 10th, 1993 at CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-09-15,U-Matic VTRA0003 (TBC 1),"Stereo. Adjusted all levels to program. Chroma had to be lowered 5 points, the inherent saturation levels were excessively high. ",3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,1:00:22,,CCLB000002,E/F00156,0,52.0,,,9/17/2021,KSP-60,Sony,,1993-12-09,created,Episode,,,checked,,,,,,,City Club,,,recy9BONdMFEYnLML,1,,,,,,,,,,1
CLIR0317,Completed for Project,UMA02924,City Club of New York Friday Forum,Lee Brown,1994-04-15,created,,,,duplicate,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000005,,1,,,,,197,AMPEX,,1994-04-14,created,Episode,,,,,,,,,,City Club,,,rec634c5iume2QSFg,,,,,,,,,,,1
CLIR0317,Completed for Project,UMA02919,City Club of New York Friday Forum,Lee Brown,1994-04-19,created,"This episode of the City Club of New York's Friday Forum invites Dr. Lee Brown, Director of the White House Office of National Drug Control Policy, to speak on the state of the drug abuse problem in New York and the nation. The discussion is followed by a Q&A with the audience. Moderated by Sally Goodgold (Chair, Board of Trustees) and recorded on April 15th, 1994 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-24,U-Matic VTRA0003 (TBC 1),Stereo. No bars/tones. Adjusted levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,,,CCLB000005,E/F00156,0,,,,9/2/2021,KSP-60,Sony,,1994-04-18,created,Episode,,,checked,,,,,,,City Club,,,rece7bx4LPSpwMLtX,1,,,,,,,,,,1
CLIR0318,Completed for Project,UMA02859,City Club of New York Friday Forum,Roy Innis,1993-06-18,created,"Content Warning: This content contains depiction and/or discussion of discriminatory attitudes or actions towards people of color. 

This episode of the City Club of New York's Friday Forum invites Roy Innis, Chairman of the Congress of Racial Equality (CORE), to discuss his mayoral candidacy on the Republican ticket. Introduced and moderated by Ross Sandler (Chair, Board of Trustees, City Club). Recorded on June 18th, 1993 at CUNY Graduate Center. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-10,U-Matic VTRA0003 (TBC 1),Baked for 30 hours on August 5th. Stereo. Adjusted levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,57:14,,CCLB000001,E/F00159,0,53.0,,Episode,9/9/2021,187,AMPEX,,1993-06-17,created,Episode,,,checked,,,,,,,City Club,,,recKtV41Wc9R4z2V4,1,,,,,,Kelly Haydon,,,,1
CLIR0319,Completed for Project,UMA03074,City Club of New York Friday Forum,Ed Koch,1996-02-21,created,"The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-18,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted levels to program. Dropout and some tape damage observed. ,3/4 inch videotape: U-matic SP,Moving Image,,,,58:18,,CCLB000015,E/F00156,0,51.0,,,,KSP-60,Sony,,1996-02-20,created,Episode,,,checked,,,,,,,City Club,,,recdEidjH8v9BaiR2,1,,,,,,,,,,1
CLIR0320,Completed for Project,UMA02857,City Club of New York Friday Forum,FBI Special Agent James Fox,1993-11-05,created,"Content Warning: The content contains discriminatory attitudes and/or discussions of a people or culture, notably those of Middle Eastern descent. These attitudes are wrong and do not reflect the values of CUNY-TV. 

This episode of the City Club of New York's Friday Forum invites FBI Special Agent James Fox, head of the NYC office, to reflect on his involvement in several renowned investigations, notably the 1993 World Trade Center bombing. Other topics include the Gotti Crime Family, the 1993 Lufthansa hijacking at JFK, and comments on the siege of Waco's Branch Davidians compound. Hosted by Sally Goodgold (Chair, Board of Trustees, City Club); Claire Shulman (Queens Borough President) gives introductory remarks. Recorded on November 11th, 1993 at Citicorp CTR Queens. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).


",2021-08-10,U-Matic VTRA0003 (TBC 1),Baked 30 hours on August 5th. Stereo. Set levels to program but a little dark. I avoided too much ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,57:20,,CCLB000001,E/F00159,0,51.0,,Episode,9/3/2021,187,AMPEX,,1993-11-04,created,Episode,,,checked,,,,,,,City Club,,,rec3UEDYbNaP3uXsu,1,,,,,,Kelly Haydon,,,,1
CLIR0321,Completed for Project,UMA02881,City Club of New York Friday Forum,The Year 2000 Bug,1997-04-11,created,"In this episode of the City Club of New York's Friday Forum, panelists discuss the potential impacts of the Year 2000 Bug (also known as the Y2K Bug.) Moderated by City Councilmember Andrew Eristoff and recorded on April 11th, 1997 at the National Arts Club. Barbara Eber-Schmid (President, City Club) gives welcoming remarks. 

Panelists include: 

-  Lawrence Zuckerman (New York Times) 
 - Gino Manchini (Director, Year 2000 Project, Mayor's Office)
 - Laurence Mascera (QED Computer Consulting Firm)

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy forums aired on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-18,U-Matic VTRA0003 (TBC 1),Stereo. Set luma to program; set audio levels and phase to tone. The hue shifts wildly between different camera angles (inherent). ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,56:24,,CCLB000003,E/F00156,0,,,,9/7/2021,KSP-60,Sony,,1997-04-10,created,Episode,,,checked,,,,,,,City Club,,,recpo8MuReTn9QBIs,1,,,,,,,,,,1
CLIR0321,Completed for Project,VHS00462,City Club of New York Friday Forum,Year 200 Bug,1997-04-11,created,,,,duplicate,VHS,Moving Image,,,,,,CCLB000016,,1,,,,,TS120,Sony,,1997-04-10,created,Episode,,,,,,,,,,City Club,,,recM3RpRUQv5CB0aV,,,,,,,,,,,1
CLIR0322,Completed for Project,UMA02927,City Club of New York Friday Forum,"Backlash Against Homeless, Hayes/Pasan",1994-03-25,created,,,,duplicate,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000005,,1,,,,,KSP-60,Sony,,1994-03-24,created,Episode,,,,,,,,,,City Club,,,recOgvzfv1AZ8aKvc,,,,,,,,,,,1
CLIR0322,Completed for Project,UMA02920,City Club of New York Friday Forum,Backlash Against Homeless,1994-03-29,created,"This episode of the City Club of New York's Friday Forum invites experts to discuss changing attitudes towards the homeless under the Giuliani administration. Panelists include Robert Hayes, founder of The Coalition for the Homeless, and City Council member Antonio Pagan. The discussion is followed by a Q&A with the audience. Moderated by Ed Tristram (President, City Club) and recorded on March 25th, 1994. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-08-24,U-Matic VTRA0003 (TBC 1),Stereo. No bars/tones. Adjusted levels to program. ,3/4 inch videotape: U-matic SP,Moving Image,Moving image/Dub,,,1:05:00,,CCLB000005,E/F00156,0,53.0,,,9/10/2021,KSP-60,Sony,,1994-03-28,created,Episode,,,checked,,,,,,,City Club,,,rec5ZNznWS1QZEnpi,1,,,,,,,,,,1
CLIR0323,Completed for Project,VHS00479,City Club of New York Friday Forum,Messinger,1997-01-17,created,,,,duplicate,VHS,Moving Image,,,,,,CCLB000017,,1,,,,,TS120,Sony,,1997-01-16,created,Episode,,,,,,,,,,City Club,,,recQXHrlMZiwowr2T,,,,,,,,,,,1
CLIR0323,Completed for Project,UMA02882,City Club of New York Friday Forum,Ruth Messinger,1997-01-17,created,"This episode of the City Club of New York's Friday Forum invites Manhattan Borough President Ruth Messinger to discuss the negative impacts of the Giuliani administration. Some topics Messinger addresses include immigration, plans for the waterfront, policing, education, and public health. The discussion is followed by a Q&A with the audience.  Moderated by Norma Munn (Chair, Board of Trustees) and recorded on January 17th, 1997 at the Fashion Institute of Technology. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-09-08,U-Matic VTRA0003 (TBC 1),"Stereo. Set luma and audio levels to the program. Lowered chroma a bit. The levels change wildly from camera to camera - difficult to adjust to a good-looking overall universe, but nothing clips. ",3/4 inch videotape: U-matic SP,Moving Image,,,,57:15,,CCLB000003,E/F00156,0,,"saturation levels are difficult to control for some of these early city clubs, that change from camera to camera",,9/9/2021,KSP-60,Sony,,1997-01-16,created,Episode,,,checked,,,,,,,City Club,,,recUjJqwwwRNkC3WZ,1,,,,,,,,,,1
CLIR0324,Completed for Project,UMA02880,City Club of New York Friday Forum,H. Carl McCall on the New York State Budget,1997-02-28,created,"This episode of the City Club of New York's Friday Forum invites New York State Comptroller, H. Carl McCall, to give an overview of the 1998-1998 state executive budget, focusing on issues that concern New York City. The discussion is followed by a Q&A with the audience. Moderated by Norma Munn and recorded on February 2nd, 1997 at Fashion Institute of Technology. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-09-08,U-Matic VTRA0003 (TBC 1),Stereo. Adjusted levels to program - had to significantly adjust the luma as it was recorded very dark for dark skin.  ,3/4 inch videotape: U-matic SP,Moving Image,,,,58:44,,CCLB000002,E/F00156,0,,,,9/9/2021,KSP-60,Sony,,1997-02-27,created,Episode,,,checked,,,,,,,City Club,,,recpgET44LjGwLkhR,1,,,,,,,,,,1
CLIR0324,Completed for Project,VHS00468,City Club of New York Friday Forum,McCall,1997-02-28,created,,,,duplicate,VHS,Moving Image,,,,,,CCLB000016,,1,,,,,TS120,Sony,,1997-02-27,created,Episode,,,,,,,,,,City Club,,,recv7nmZRbWjSIMTv,,,,,,,,,,,1
CLIR0325,Completed for Project,VHS00475,City Club of New York Friday Forum,Sharpton,1997-02-21,created,,,,duplicate,VHS,Moving Image,,,,,,CCLB000016,,1,,,,,TS120,Sony,,1997-02-20,created,Episode,,,,,,,,,,City Club,,,recYV18MP9vmsScrp,,,,,,,,,,,1
CLIR0325,Completed for Project,UMA02888,City Club of New York Friday Forum,Reverend Al Sharpton,1997-02-26,created,"This episode of the City Club of New York's Friday Forum invites civil rights activist and mayoral candidate, Reverend Al Sharpton, to speak on his policy platforms for the city. The discussion is followed by a Q&A with the audience. Moderated by Barbara Eber-Schmidt (President, City Club) and recorded on February 24th, 1997 at Fashion Institute of Technology. 

The City Club of New York (CCNY) is a social and political organization founded in 1829. Their weekly public policy debates and discussions were broadcast on CUNY-TV throughout the 1990s. Efforts to preserve this program were made possible by ""Uncovering CUNY's Audiovisual Heritage,"" a project funded by Council on Library and Information Resources (CLIR).",2021-09-08,U-Matic VTRA0003 (TBC 1),"Stereo. Set levels to program, but there is some near-clipping in the Q&A. Al is recorded very dark; I raised luma to brighten it up but it blew out the audience lights just a tad. ",3/4 inch videotape: U-matic SP,Moving Image,,,,59:11,,CCLB000003,E/F00156,0,50.0,had to manually finish this package,,9/9/2021,KSP-60,Sony,,1997-02-25,created,Episode,,,checked,,,,,,,City Club,,,recdPIEqBNUavpwQg,1,,,,,,,,,,1
